run_id,query,statement_id,status,start_time,end_time,duration_seconds
2026_08_27_06_46_17_972,Q1,query1_compacted.sql_0,SUCCESS,2026-08-27T06:46:17.981332Z,2026-08-27T06:46:30.915924Z,12.934592
2026_08_27_06_46_17_972,Q3,query3_compacted.sql_0,SUCCESS,2026-08-27T06:46:30.917308Z,2026-08-27T06:46:33.393024Z,2.475716
2026_08_27_06_46_17_972,Q6,query6_compacted.sql_0,SUCCESS,2026-08-27T06:46:33.393290Z,2026-08-27T06:46:34.060811Z,0.667521
2026_08_27_06_46_17_972,Q12,query12_compacted.sql_0,SUCCESS,2026-08-27T06:46:34.061048Z,2026-08-27T06:46:35.480539Z,1.419491
2026_08_27_06_46_17_972,Q14,query14_compacted.sql_0,SUCCESS,2026-08-27T06:46:35.480816Z,2026-08-27T06:46:36.346245Z,0.865429
2026_08_27_06_46_17_972,Q18,query18_compacted.sql_0,SUCCESS,2026-08-27T06:46:36.346503Z,2026-08-27T06:46:42.157283Z,5.81078
2026_08_27_06_46_17_972,Q1,query1_compacted.sql_0,SUCCESS,2026-08-27T06:46:42.259235Z,2026-08-27T06:46:48.953956Z,6.694721
2026_08_27_06_46_17_972,Q3,query3_compacted.sql_0,SUCCESS,2026-08-27T06:46:48.954178Z,2026-08-27T06:46:50.256730Z,1.302552
2026_08_27_06_46_17_972,Q6,query6_compacted.sql_0,SUCCESS,2026-08-27T06:46:50.256979Z,2026-08-27T06:46:50.652641Z,0.395662
2026_08_27_06_46_17_972,Q12,query12_compacted.sql_0,SUCCESS,2026-08-27T06:46:50.652850Z,2026-08-27T06:46:51.446691Z,0.793841
2026_08_27_06_46_17_972,Q14,query14_compacted.sql_0,SUCCESS,2026-08-27T06:46:51.446899Z,2026-08-27T06:46:52.051860Z,0.604961
2026_08_27_06_46_17_972,Q18,query18_compacted.sql_0,SUCCESS,2026-08-27T06:46:52.052055Z,2026-08-27T06:46:55.820965Z,3.76891
2026_08_27_06_46_17_972,Q1,query1_compacted.sql_0,SUCCESS,2026-08-27T06:46:55.906935Z,2026-08-27T06:47:02.352426Z,6.445491
2026_08_27_06_46_17_972,Q3,query3_compacted.sql_0,SUCCESS,2026-08-27T06:47:02.352633Z,2026-08-27T06:47:03.522402Z,1.169769
2026_08_27_06_46_17_972,Q6,query6_compacted.sql_0,SUCCESS,2026-08-27T06:47:03.522638Z,2026-08-27T06:47:03.920319Z,0.397681
2026_08_27_06_46_17_972,Q12,query12_compacted.sql_0,SUCCESS,2026-08-27T06:47:03.920538Z,2026-08-27T06:47:04.595699Z,0.675161
2026_08_27_06_46_17_972,Q14,query14_compacted.sql_0,SUCCESS,2026-08-27T06:47:04.595870Z,2026-08-27T06:47:05.143960Z,0.54809
2026_08_27_06_46_17_972,Q18,query18_compacted.sql_0,SUCCESS,2026-08-27T06:47:05.144194Z,2026-08-27T06:47:08.827417Z,3.683223
