file_path,file_format,record_count,file_size_in_bytes
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00000-2-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862568
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00001-3-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862778
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00002-4-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,861836
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00003-5-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862496
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00004-6-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862911
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00005-7-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,860805
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00006-8-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862492
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00007-9-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862468
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00008-10-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,861239
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00009-11-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862859
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00010-12-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862918
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00011-13-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862178
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00012-14-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,861683
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00013-15-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862367
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00014-16-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862356
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00015-17-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,863689
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00016-18-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,861705
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00017-19-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862593
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00018-20-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,861489
file:/home/shashank/Link to PDocuments/Capstone/implementation/warehouse/experiment/lineitem_fragmented/data/00019-21-30b952e8-1d28-4f3e-b8a3-b41baf75437f-00001.parquet,PARQUET,30006,862448
