run_id,query,statement_id,status,start_time,end_time,duration_seconds
2026_08_27_05_49_32_068,Q1,query1_fragmented.sql_0,SUCCESS,2026-08-27T05:49:32.081128Z,2026-08-27T05:49:35.831234Z,3.750106
2026_08_27_05_49_32_068,Q3,query3_fragmented.sql_0,SUCCESS,2026-08-27T05:49:35.832528Z,2026-08-27T05:49:36.759312Z,0.926784
2026_08_27_05_49_32_068,Q6,query6_fragmented.sql_0,SUCCESS,2026-08-27T05:49:36.759603Z,2026-08-27T05:49:37.532143Z,0.77254
2026_08_27_05_49_32_068,Q12,query12_fragmented.sql_0,SUCCESS,2026-08-27T05:49:37.532376Z,2026-08-27T05:49:38.374952Z,0.842576
2026_08_27_05_49_32_068,Q14,query14_fragmented.sql_0,SUCCESS,2026-08-27T05:49:38.375170Z,2026-08-27T05:49:38.872283Z,0.497113
2026_08_27_05_49_32_068,Q18,query18_fragmented.sql_0,SUCCESS,2026-08-27T05:49:38.872472Z,2026-08-27T05:49:42.034069Z,3.161597
2026_08_27_05_49_32_068,Q1,query1_fragmented.sql_0,SUCCESS,2026-08-27T05:49:42.119756Z,2026-08-27T05:49:45.136905Z,3.017149
2026_08_27_05_49_32_068,Q3,query3_fragmented.sql_0,SUCCESS,2026-08-27T05:49:45.137110Z,2026-08-27T05:49:45.889254Z,0.752144
2026_08_27_05_49_32_068,Q6,query6_fragmented.sql_0,SUCCESS,2026-08-27T05:49:45.889468Z,2026-08-27T05:49:46.248847Z,0.359379
2026_08_27_05_49_32_068,Q12,query12_fragmented.sql_0,SUCCESS,2026-08-27T05:49:46.249052Z,2026-08-27T05:49:46.991626Z,0.742574
2026_08_27_05_49_32_068,Q14,query14_fragmented.sql_0,SUCCESS,2026-08-27T05:49:46.991837Z,2026-08-27T05:49:47.506715Z,0.514878
2026_08_27_05_49_32_068,Q18,query18_fragmented.sql_0,SUCCESS,2026-08-27T05:49:47.506908Z,2026-08-27T05:49:50.684048Z,3.17714
2026_08_27_05_49_32_068,Q1,query1_fragmented.sql_0,SUCCESS,2026-08-27T05:49:50.725311Z,2026-08-27T05:49:53.678465Z,2.953154
2026_08_27_05_49_32_068,Q3,query3_fragmented.sql_0,SUCCESS,2026-08-27T05:49:53.678668Z,2026-08-27T05:49:54.514031Z,0.835363
2026_08_27_05_49_32_068,Q6,query6_fragmented.sql_0,SUCCESS,2026-08-27T05:49:54.514180Z,2026-08-27T05:49:54.879808Z,0.365628
2026_08_27_05_49_32_068,Q12,query12_fragmented.sql_0,SUCCESS,2026-08-27T05:49:54.880125Z,2026-08-27T05:49:55.628765Z,0.74864
2026_08_27_05_49_32_068,Q14,query14_fragmented.sql_0,SUCCESS,2026-08-27T05:49:55.628929Z,2026-08-27T05:49:56.116371Z,0.487442
2026_08_27_05_49_32_068,Q18,query18_fragmented.sql_0,SUCCESS,2026-08-27T05:49:56.116575Z,2026-08-27T05:49:59.189103Z,3.072528
