query,comparison,state_a,state_b,sample_count,test_used,normality_p_value,raw_p_value,holm_adjusted_p_value,significant_after_holm,paired_mean_difference,paired_difference_ci_lower,paired_difference_ci_upper,percentage_difference,cohen_dz,rank_biserial_r,interpretation
Q1,Fragmented - Control,Control,Fragmented,20,Paired t-test,0.11237491819469975,0.0,0.0,Yes,-3.9022852,-3.9633158283995003,-3.8412545716005,-59.13207997133865,-29.924739298583646,-1.0,Statistically significant speedup
Q1,Compacted - Control,Control,Compacted,20,Wilcoxon signed-rank test,0.021893974664142724,9.569173157064625e-05,0.0005741503894238775,Yes,-1.3481244000000001,-1.4087083121967603,-1.28754048780324,-20.428388943000098,-10.414342711901977,-1.0,Statistically significant speedup
Q1,Fragmented - Compacted,Compacted,Fragmented,20,Paired t-test,0.8102661684028738,0.0,0.0,Yes,-2.5541608,-2.6467134798016567,-2.4616081201983433,-48.64007466257501,-12.915714836141767,-1.0,Statistically significant speedup
Q12,Fragmented - Control,Control,Fragmented,20,Paired t-test,0.15663396601732732,0.5308178351277155,0.9393929453905145,No,0.00651980000000002,-0.014854828868704817,0.027894428868704857,1.0376561366272212,0.14275617445334227,0.06666666666666667,Not significant (retains null hypothesis)
Q12,Compacted - Control,Control,Compacted,20,Paired t-test,0.4009297458762477,6.938893903907228e-14,7.647216193618078e-13,Yes,-0.0708167,-0.07855287021725543,-0.06308052978274456,-11.270803296219013,-4.284191534414682,-1.0,Statistically significant speedup
Q12,Fragmented - Compacted,Compacted,Fragmented,20,Paired t-test,0.7002262326320741,2.5146674575982075e-07,1.7602672203187453e-06,Yes,0.07733650000000002,0.05653932230392647,0.09813367769607356,13.871938313537935,1.7403609148392514,1.0,Statistically significant slowdown
Q14,Fragmented - Control,Control,Fragmented,20,Paired t-test,0.35876681941538074,5.783698375783075e-08,4.62695870062646e-07,Yes,-0.06842250000000001,-0.08510375852134444,-0.051741241478655574,-13.950819754022312,-1.9196821900373802,-0.9904761904761905,Statistically significant speedup
Q14,Compacted - Control,Control,Compacted,20,Paired t-test,0.9506129578091933,4.345678039641143e-09,3.911110235677029e-08,Yes,-0.06298325000000002,-0.07601026463686839,-0.04995623536313165,-12.841798652088507,-2.262764602525624,-1.0,Statistically significant speedup
Q14,Fragmented - Compacted,Compacted,Fragmented,20,Paired t-test,0.2463438663015306,0.46969647269525727,0.9393929453905145,No,-0.005439250000000001,-0.02087115983621675,0.009992659836216744,-1.2724231165658182,-0.16495996418868078,-0.2761904761904762,Not significant (retains null hypothesis)
Q18,Fragmented - Control,Control,Fragmented,20,Paired t-test,0.3042675268936488,6.372680161348399e-14,7.647216193618078e-13,Yes,0.33829275,0.30150991423032086,0.3750755857696791,13.990340502947182,4.304341227606797,1.0,Statistically significant slowdown
Q18,Compacted - Control,Control,Compacted,20,Wilcoxon signed-rank test,0.03300443050924773,9.569173157064625e-05,0.0005741503894238775,Yes,0.77105575,0.7470991407574752,0.7950123592425249,31.887566284690756,15.063283210031072,1.0,Statistically significant slowdown
Q18,Fragmented - Compacted,Compacted,Fragmented,20,Paired t-test,0.8957117623497325,1.1102230246251565e-16,1.6653345369377348e-15,Yes,-0.4327630000000001,-0.4665596457301548,-0.39896635426984545,-13.570062960378584,-5.992882101899436,-1.0,Statistically significant speedup
Q3,Fragmented - Control,Control,Fragmented,20,Wilcoxon signed-rank test,0.009128052107605256,9.569173157064625e-05,0.0005741503894238775,Yes,-0.43768779999999996,-0.4626707670744879,-0.412704832925512,-39.76707492427509,-8.199353982997627,-1.0,Statistically significant speedup
Q3,Compacted - Control,Control,Compacted,20,Paired t-test,0.5036297744532607,1.0459744181900987e-10,1.0459744181900987e-09,Yes,-0.14604055,-0.17018825067546015,-0.12189284932453984,-13.268831102517234,-2.830459117551031,-1.0,Statistically significant speedup
Q3,Fragmented - Compacted,Compacted,Fragmented,20,Paired t-test,0.9050555816898742,1.4432899320127035e-14,1.8762769116165146e-13,Yes,-0.29164725,-0.3208744730691874,-0.2624200269308126,-30.552158074888958,-4.670136150856249,-1.0,Statistically significant speedup
Q6,Fragmented - Control,Control,Fragmented,20,Paired t-test,0.2754675726797847,5.551115123125783e-16,7.771561172376096e-15,Yes,-0.09439109999999999,-0.10236789147276203,-0.08641430852723796,-24.89676692648523,-5.538115624596906,-1.0,Statistically significant speedup
Q6,Compacted - Control,Control,Compacted,20,Paired t-test,0.5939814393087653,0.0,0.0,Yes,-0.08228624999999999,-0.08672265271850721,-0.07784984728149277,-21.703969839365104,-8.680715411275706,-1.0,Statistically significant speedup
Q6,Fragmented - Compacted,Compacted,Fragmented,20,Paired t-test,0.17062126799109778,0.0057444621919416905,0.01723338657582507,Yes,-0.01210485,-0.020247173372320668,-0.003962526627679335,-4.077853092384982,-0.6957773329836535,-0.6476190476190476,Statistically significant speedup
Workload,Fragmented - Control,Control,Fragmented,20,Paired t-test,0.06496900342375062,0.0,0.0,Yes,-4.157974050000001,-4.248449440843245,-4.067498659156756,-35.79569970180267,-21.508519479131774,-1.0,Statistically significant speedup
Workload,Compacted - Control,Control,Compacted,20,Paired t-test,0.22857936745243657,2.6645352591003757e-15,2.6645352591003757e-15,Yes,-0.9391953999999998,-1.0252228404584196,-0.8531679595415799,-8.085465684836207,-5.109497200831607,-1.0,Statistically significant speedup
Workload,Fragmented - Compacted,Compacted,Fragmented,20,Paired t-test,0.18013008351343124,0.0,0.0,Yes,-3.21877865,-3.3349839381856747,-3.102573361814325,-30.1478261554929,-12.963564426689217,-1.0,Statistically significant speedup
