query,state,phase2g_mean_seconds,phase2j_telemetry_seconds,absolute_difference_seconds,percentage_difference
Q1,Control,6.5990,7.9280,1.3290,20.14%
Q1,Fragmented,2.6970,3.5400,0.8430,31.26%
Q1,Compacted,5.2510,5.7810,0.5300,10.09%
Q3,Control,1.1010,2.3200,1.2190,110.72%
Q3,Fragmented,0.6630,1.2890,0.6260,94.42%
Q3,Compacted,0.9550,1.2150,0.2600,27.23%
Q6,Control,0.3790,0.4650,0.0860,22.69%
Q6,Fragmented,0.2850,0.5530,0.2680,94.04%
Q6,Compacted,0.2970,0.2840,-0.0130,-4.38%
Q12,Control,0.6280,1.2470,0.6190,98.57%
Q12,Fragmented,0.6350,1.0460,0.4110,64.72%
Q12,Compacted,0.5580,0.7560,0.1980,35.48%
Q14,Control,0.4910,0.4350,-0.0560,-11.41%
Q14,Fragmented,0.4220,0.3910,-0.0310,-7.35%
Q14,Compacted,0.4280,0.2800,-0.1480,-34.58%
Q18,Control,2.4180,5.0970,2.6790,110.79%
Q18,Fragmented,2.7560,6.6440,3.8880,141.07%
Q18,Compacted,3.1890,6.7990,3.6100,113.20%
