query,state,stage_id,stage_name,task_count,stage_duration_ms,total_task_duration_ms,avg_task_duration_ms,max_task_duration_ms,sum_input_bytes,sum_input_records,sum_file_splits,max_concurrency,utilized_parallelism_ratio
Q1,Control,3,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,2,7599,9131,4565.50,7589,42465188,6001215,16,2,0.1250
Q1,Control,5,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,1,38,31,31.00,31,0,0,0,1,0.0625
Q1,Control,7,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,1,46,34,34.00,34,0,0,0,1,0.0625
Q1,Control,10,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,1,54,47,47.00,47,0,0,0,1,0.0625
Q1,Fragmented,11,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,7,3368,21168,3024.00,3362,68633490,6001215,200,7,0.4375
Q1,Fragmented,13,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,1,25,18,18.00,18,0,0,0,1,0.0625
Q1,Fragmented,15,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,1,28,21,21.00,21,0,0,0,1,0.0625
Q1,Fragmented,18,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,1,18,11,11.00,11,0,0,0,1,0.0625
Q1,Compacted,19,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,2,5638,8555,4277.50,5631,41398046,6001215,4,2,0.1250
Q1,Compacted,21,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,1,20,15,15.00,15,0,0,0,1,0.0625
Q1,Compacted,23,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,1,22,15,15.00,15,0,0,0,1,0.0625
Q1,Compacted,26,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,1,18,9,9.00,9,0,0,0,1,0.0625
Q3,Control,27,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,2,1736,2365,1182.50,1732,43374500,6001215,16,2,0.1250
Q3,Control,29,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,1,491,487,487.00,487,11640628,1500000,16,1,0.0625
Q3,Control,33,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,17,507,7241,425.94,497,0,0,0,17,1.0625
Q3,Fragmented,34,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,7,988,6251,893.00,979,81740690,6001215,200,7,0.4375
Q3,Fragmented,36,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,1,548,542,542.00,542,11640628,1500000,16,1,0.0625
Q3,Fragmented,40,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,17,260,3456,203.29,245,0,0,0,17,1.0625
Q3,Compacted,41,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,2,917,1477,738.50,914,52641566,6001215,4,2,0.1250
Q3,Compacted,43,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,1,325,321,321.00,321,11640628,1500000,16,1,0.0625
Q3,Compacted,47,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,17,250,3400,200.00,234,0,0,0,17,1.0625
Q6,Control,48,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,2,444,565,282.50,442,40167332,6001215,16,2,0.1250
Q6,Control,50,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,1,7,4,4.00,4,0,0,0,1,0.0625
Q6,Fragmented,51,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,7,529,3270,467.14,522,82478542,6001215,200,7,0.4375
Q6,Fragmented,53,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,1,7,4,4.00,4,0,0,0,1,0.0625
Q6,Compacted,54,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,2,266,401,200.50,262,37523230,6001215,4,2,0.1250
Q6,Compacted,56,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,1,6,4,4.00,4,0,0,0,1,0.0625
Q12,Control,57,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,1,586,583,583.00,583,3317556,1500000,16,1,0.0625
Q12,Control,58,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,2,779,1056,528.00,775,43313060,6001215,16,2,0.1250
Q12,Control,62,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,14,217,2882,205.86,213,0,0,0,14,0.8750
Q12,Control,65,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,1,15,11,11.00,11,0,0,0,1,0.0625
Q12,Control,68,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,1,15,10,10.00,10,0,0,0,1,0.0625
Q12,Control,72,collect at /home/shashank/Link to PDocuments/Capstone/implementation/scripts/phase2-task-telemetry-verification/run_telemetry_verification.py:75,1,12,8,8.00,8,0,0,0,1,0.0625
