query,state,stage_id,task_id,task_index,launch_time,finish_time,duration_ms,executor_run_time_ms,executor_cpu_time_ms,jvm_gc_time_ms,executor_deserialize_time_ms,result_serialization_time_ms,input_bytes_read,input_records_read,file_splits_read
Q1,Control,3,4,1,1788156134888,1788156136430,1542,1529,1421,68,9,0,5111808,720116,2
Q1,Control,3,3,0,1788156134888,1788156142477,7589,7576,7295,200,9,0,37353380,5281099,14
Q1,Control,5,5,0,1788156142619,1788156142650,31,17,16,0,10,0,0,0,0
Q1,Control,7,6,0,1788156142672,1788156142706,34,15,15,0,15,0,0,0,0
Q1,Control,10,7,0,1788156142758,1788156142805,47,39,29,0,5,0,0,0,0
Q1,Fragmented,11,14,6,1788156142996,1788156144207,1211,1196,1087,70,7,0,2744914,240048,8
Q1,Fragmented,11,12,4,1788156142995,1788156146280,3285,3270,2851,194,8,0,10981092,960192,32
Q1,Fragmented,11,11,3,1788156142995,1788156146303,3308,3292,2886,196,10,0,10982658,960216,32
Q1,Fragmented,11,13,5,1788156142996,1788156146325,3329,3316,2887,197,8,0,10981748,960192,32
Q1,Fragmented,11,10,2,1788156142994,1788156146328,3334,3319,2894,197,10,0,10981694,960192,32
Q1,Fragmented,11,9,1,1788156142993,1788156146332,3339,3323,2906,197,10,0,10980258,960192,32
Q1,Fragmented,11,8,0,1788156142992,1788156146354,3362,3344,2921,197,11,0,10981126,960183,32
Q1,Fragmented,13,15,0,1788156146422,1788156146440,18,11,11,0,4,0,0,0,0
Q1,Fragmented,15,16,0,1788156146451,1788156146472,21,13,13,0,5,0,0,0,0
Q1,Fragmented,18,17,0,1788156146513,1788156146524,11,5,5,0,4,0,0,0,0
Q1,Compacted,19,19,1,1788156146689,1788156149613,2924,2917,2794,92,3,0,13618876,1980387,1
Q1,Compacted,19,18,0,1788156146689,1788156152320,5631,5624,5431,139,3,0,27779170,4020828,3
Q1,Compacted,21,20,0,1788156152374,1788156152389,15,9,7,0,3,0,0,0,0
Q1,Compacted,23,21,0,1788156152400,1788156152415,15,8,8,0,4,0,0,0,0
Q1,Compacted,26,22,0,1788156152453,1788156152462,9,4,3,0,3,0,0,0,0
