repetition,phase_position_1,phase_position_2,phase_position_3
0,Control,Fragmented,Compacted
1,Control,Compacted,Fragmented
2,Fragmented,Control,Compacted
3,Fragmented,Compacted,Control
4,Compacted,Control,Fragmented
5,Compacted,Fragmented,Control
6,Control,Fragmented,Compacted
7,Control,Compacted,Fragmented
8,Fragmented,Control,Compacted
9,Fragmented,Compacted,Control
10,Compacted,Control,Fragmented
11,Compacted,Fragmented,Control
12,Control,Fragmented,Compacted
13,Control,Compacted,Fragmented
14,Fragmented,Control,Compacted
15,Fragmented,Compacted,Control
16,Compacted,Control,Fragmented
17,Compacted,Fragmented,Control
18,Control,Fragmented,Compacted
19,Control,Compacted,Fragmented
20,Fragmented,Control,Compacted
21,Fragmented,Compacted,Control
