chronological_index,repetition_cycle,repetition_type,phase_index,phase_position,state,query,statement_id,status,duration_seconds
0,0,WARMUP,0,0,control,Q1,query1_control.sql_0,SUCCESS,15.359881
1,0,WARMUP,0,0,control,Q3,query3_control.sql_0,SUCCESS,2.823956
2,0,WARMUP,0,0,control,Q6,query6_control.sql_0,SUCCESS,0.906688
3,0,WARMUP,0,0,control,Q12,query12_control.sql_0,SUCCESS,1.824671
4,0,WARMUP,0,0,control,Q14,query14_control.sql_0,SUCCESS,1.08851
5,0,WARMUP,0,0,control,Q18,query18_control.sql_0,SUCCESS,4.83366
6,0,WARMUP,1,1,fragmented,Q1,query1_fragmented.sql_0,SUCCESS,3.781952
7,0,WARMUP,1,1,fragmented,Q3,query3_fragmented.sql_0,SUCCESS,1.208025
8,0,WARMUP,1,1,fragmented,Q6,query6_fragmented.sql_0,SUCCESS,0.543098
9,0,WARMUP,1,1,fragmented,Q12,query12_fragmented.sql_0,SUCCESS,0.968773
10,0,WARMUP,1,1,fragmented,Q14,query14_fragmented.sql_0,SUCCESS,0.670181
11,0,WARMUP,1,1,fragmented,Q18,query18_fragmented.sql_0,SUCCESS,3.717136
12,0,WARMUP,2,2,compacted,Q1,query1_compacted.sql_0,SUCCESS,6.057149
13,0,WARMUP,2,2,compacted,Q3,query3_compacted.sql_0,SUCCESS,1.208046
14,0,WARMUP,2,2,compacted,Q6,query6_compacted.sql_0,SUCCESS,0.368294
15,0,WARMUP,2,2,compacted,Q12,query12_compacted.sql_0,SUCCESS,0.692836
16,0,WARMUP,2,2,compacted,Q14,query14_compacted.sql_0,SUCCESS,0.472852
17,0,WARMUP,2,2,compacted,Q18,query18_compacted.sql_0,SUCCESS,3.57219
18,1,WARMUP,3,0,control,Q1,query1_control.sql_0,SUCCESS,7.883881
19,1,WARMUP,3,0,control,Q3,query3_control.sql_0,SUCCESS,1.407963
20,1,WARMUP,3,0,control,Q6,query6_control.sql_0,SUCCESS,0.468998
21,1,WARMUP,3,0,control,Q12,query12_control.sql_0,SUCCESS,0.839685
22,1,WARMUP,3,0,control,Q14,query14_control.sql_0,SUCCESS,0.649922
23,1,WARMUP,3,0,control,Q18,query18_control.sql_0,SUCCESS,3.251467
24,1,WARMUP,4,1,compacted,Q1,query1_compacted.sql_0,SUCCESS,5.851639
25,1,WARMUP,4,1,compacted,Q3,query3_compacted.sql_0,SUCCESS,1.053242
26,1,WARMUP,4,1,compacted,Q6,query6_compacted.sql_0,SUCCESS,0.371856
27,1,WARMUP,4,1,compacted,Q12,query12_compacted.sql_0,SUCCESS,0.587363
28,1,WARMUP,4,1,compacted,Q14,query14_compacted.sql_0,SUCCESS,0.434787
29,1,WARMUP,4,1,compacted,Q18,query18_compacted.sql_0,SUCCESS,3.25233
30,1,WARMUP,5,2,fragmented,Q1,query1_fragmented.sql_0,SUCCESS,2.706866
31,1,WARMUP,5,2,fragmented,Q3,query3_fragmented.sql_0,SUCCESS,0.786949
32,1,WARMUP,5,2,fragmented,Q6,query6_fragmented.sql_0,SUCCESS,0.365413
33,1,WARMUP,5,2,fragmented,Q12,query12_fragmented.sql_0,SUCCESS,0.759719
34,1,WARMUP,5,2,fragmented,Q14,query14_fragmented.sql_0,SUCCESS,0.505048
35,1,WARMUP,5,2,fragmented,Q18,query18_fragmented.sql_0,SUCCESS,2.991008
36,2,MEASURED,6,0,fragmented,Q1,query1_fragmented.sql_0,SUCCESS,2.819086
37,2,MEASURED,6,0,fragmented,Q3,query3_fragmented.sql_0,SUCCESS,0.841343
38,2,MEASURED,6,0,fragmented,Q6,query6_fragmented.sql_0,SUCCESS,0.327823
39,2,MEASURED,6,0,fragmented,Q12,query12_fragmented.sql_0,SUCCESS,0.73379
40,2,MEASURED,6,0,fragmented,Q14,query14_fragmented.sql_0,SUCCESS,0.462856
41,2,MEASURED,6,0,fragmented,Q18,query18_fragmented.sql_0,SUCCESS,2.749785
42,2,MEASURED,7,1,control,Q1,query1_control.sql_0,SUCCESS,6.459268
43,2,MEASURED,7,1,control,Q3,query3_control.sql_0,SUCCESS,1.108776
44,2,MEASURED,7,1,control,Q6,query6_control.sql_0,SUCCESS,0.381318
45,2,MEASURED,7,1,control,Q12,query12_control.sql_0,SUCCESS,0.657086
46,2,MEASURED,7,1,control,Q14,query14_control.sql_0,SUCCESS,0.498785
47,2,MEASURED,7,1,control,Q18,query18_control.sql_0,SUCCESS,2.493135
48,2,MEASURED,8,2,compacted,Q1,query1_compacted.sql_0,SUCCESS,5.143703
49,2,MEASURED,8,2,compacted,Q3,query3_compacted.sql_0,SUCCESS,0.994203
50,2,MEASURED,8,2,compacted,Q6,query6_compacted.sql_0,SUCCESS,0.309755
51,2,MEASURED,8,2,compacted,Q12,query12_compacted.sql_0,SUCCESS,0.589817
52,2,MEASURED,8,2,compacted,Q14,query14_compacted.sql_0,SUCCESS,0.492603
53,2,MEASURED,8,2,compacted,Q18,query18_compacted.sql_0,SUCCESS,3.292263
54,3,MEASURED,9,0,fragmented,Q1,query1_fragmented.sql_0,SUCCESS,2.821279
55,3,MEASURED,9,0,fragmented,Q3,query3_fragmented.sql_0,SUCCESS,0.748025
56,3,MEASURED,9,0,fragmented,Q6,query6_fragmented.sql_0,SUCCESS,0.312852
57,3,MEASURED,9,0,fragmented,Q12,query12_fragmented.sql_0,SUCCESS,0.762448
58,3,MEASURED,9,0,fragmented,Q14,query14_fragmented.sql_0,SUCCESS,0.542922
59,3,MEASURED,9,0,fragmented,Q18,query18_fragmented.sql_0,SUCCESS,2.969556
60,3,MEASURED,10,1,compacted,Q1,query1_compacted.sql_0,SUCCESS,5.305804
61,3,MEASURED,10,1,compacted,Q3,query3_compacted.sql_0,SUCCESS,0.980091
62,3,MEASURED,10,1,compacted,Q6,query6_compacted.sql_0,SUCCESS,0.302275
63,3,MEASURED,10,1,compacted,Q12,query12_compacted.sql_0,SUCCESS,0.620625
64,3,MEASURED,10,1,compacted,Q14,query14_compacted.sql_0,SUCCESS,0.457553
65,3,MEASURED,10,1,compacted,Q18,query18_compacted.sql_0,SUCCESS,3.314812
66,3,MEASURED,11,2,control,Q1,query1_control.sql_0,SUCCESS,6.725727
67,3,MEASURED,11,2,control,Q3,query3_control.sql_0,SUCCESS,1.183953
68,3,MEASURED,11,2,control,Q6,query6_control.sql_0,SUCCESS,0.399068
69,3,MEASURED,11,2,control,Q12,query12_control.sql_0,SUCCESS,0.679172
70,3,MEASURED,11,2,control,Q14,query14_control.sql_0,SUCCESS,0.515449
71,3,MEASURED,11,2,control,Q18,query18_control.sql_0,SUCCESS,2.591269
72,4,MEASURED,12,0,compacted,Q1,query1_compacted.sql_0,SUCCESS,5.645054
73,4,MEASURED,12,0,compacted,Q3,query3_compacted.sql_0,SUCCESS,1.026234
74,4,MEASURED,12,0,compacted,Q6,query6_compacted.sql_0,SUCCESS,0.304322
75,4,MEASURED,12,0,compacted,Q12,query12_compacted.sql_0,SUCCESS,0.603119
76,4,MEASURED,12,0,compacted,Q14,query14_compacted.sql_0,SUCCESS,0.430348
77,4,MEASURED,12,0,compacted,Q18,query18_compacted.sql_0,SUCCESS,3.295318
78,4,MEASURED,13,1,control,Q1,query1_control.sql_0,SUCCESS,6.599672
79,4,MEASURED,13,1,control,Q3,query3_control.sql_0,SUCCESS,1.144668
80,4,MEASURED,13,1,control,Q6,query6_control.sql_0,SUCCESS,0.378422
81,4,MEASURED,13,1,control,Q12,query12_control.sql_0,SUCCESS,0.655026
82,4,MEASURED,13,1,control,Q14,query14_control.sql_0,SUCCESS,0.484068
83,4,MEASURED,13,1,control,Q18,query18_control.sql_0,SUCCESS,2.458661
84,4,MEASURED,14,2,fragmented,Q1,query1_fragmented.sql_0,SUCCESS,2.659992
85,4,MEASURED,14,2,fragmented,Q3,query3_fragmented.sql_0,SUCCESS,0.689996
86,4,MEASURED,14,2,fragmented,Q6,query6_fragmented.sql_0,SUCCESS,0.289792
87,4,MEASURED,14,2,fragmented,Q12,query12_fragmented.sql_0,SUCCESS,0.6549
88,4,MEASURED,14,2,fragmented,Q14,query14_fragmented.sql_0,SUCCESS,0.449957
89,4,MEASURED,14,2,fragmented,Q18,query18_fragmented.sql_0,SUCCESS,2.855876
90,5,MEASURED,15,0,compacted,Q1,query1_compacted.sql_0,SUCCESS,5.353819
91,5,MEASURED,15,0,compacted,Q3,query3_compacted.sql_0,SUCCESS,0.944455
92,5,MEASURED,15,0,compacted,Q6,query6_compacted.sql_0,SUCCESS,0.296777
93,5,MEASURED,15,0,compacted,Q12,query12_compacted.sql_0,SUCCESS,0.568645
94,5,MEASURED,15,0,compacted,Q14,query14_compacted.sql_0,SUCCESS,0.460211
95,5,MEASURED,15,0,compacted,Q18,query18_compacted.sql_0,SUCCESS,3.203734
96,5,MEASURED,16,1,fragmented,Q1,query1_fragmented.sql_0,SUCCESS,2.668296
