run_id,statement_id,status,start_time,end_time
2026_08_27_15_17_18_765,query1_control.sql_0,SUCCESS,2026-08-27T15:17:18.775562Z,2026-08-27T15:17:34.135443Z
2026_08_27_15_17_18_765,query3_control.sql_0,SUCCESS,2026-08-27T15:17:34.136588Z,2026-08-27T15:17:36.960544Z
2026_08_27_15_17_18_765,query6_control.sql_0,SUCCESS,2026-08-27T15:17:36.960724Z,2026-08-27T15:17:37.867412Z
2026_08_27_15_17_18_765,query12_control.sql_0,SUCCESS,2026-08-27T15:17:37.867584Z,2026-08-27T15:17:39.692255Z
2026_08_27_15_17_18_765,query14_control.sql_0,SUCCESS,2026-08-27T15:17:39.692497Z,2026-08-27T15:17:40.781007Z
2026_08_27_15_17_18_765,query18_control.sql_0,SUCCESS,2026-08-27T15:17:40.781205Z,2026-08-27T15:17:45.614865Z
2026_08_27_15_17_18_765,query1_fragmented.sql_0,SUCCESS,2026-08-27T15:17:45.679672Z,2026-08-27T15:17:49.461624Z
2026_08_27_15_17_18_765,query3_fragmented.sql_0,SUCCESS,2026-08-27T15:17:49.461833Z,2026-08-27T15:17:50.669858Z
2026_08_27_15_17_18_765,query6_fragmented.sql_0,SUCCESS,2026-08-27T15:17:50.670072Z,2026-08-27T15:17:51.213170Z
2026_08_27_15_17_18_765,query12_fragmented.sql_0,SUCCESS,2026-08-27T15:17:51.213407Z,2026-08-27T15:17:52.182180Z
2026_08_27_15_17_18_765,query14_fragmented.sql_0,SUCCESS,2026-08-27T15:17:52.182338Z,2026-08-27T15:17:52.852519Z
2026_08_27_15_17_18_765,query18_fragmented.sql_0,SUCCESS,2026-08-27T15:17:52.852742Z,2026-08-27T15:17:56.569878Z
2026_08_27_15_17_18_765,query1_compacted.sql_0,SUCCESS,2026-08-27T15:17:56.605563Z,2026-08-27T15:18:02.662712Z
2026_08_27_15_17_18_765,query3_compacted.sql_0,SUCCESS,2026-08-27T15:18:02.662866Z,2026-08-27T15:18:03.870912Z
2026_08_27_15_17_18_765,query6_compacted.sql_0,SUCCESS,2026-08-27T15:18:03.871080Z,2026-08-27T15:18:04.239374Z
2026_08_27_15_17_18_765,query12_compacted.sql_0,SUCCESS,2026-08-27T15:18:04.239521Z,2026-08-27T15:18:04.932357Z
2026_08_27_15_17_18_765,query14_compacted.sql_0,SUCCESS,2026-08-27T15:18:04.932506Z,2026-08-27T15:18:05.405358Z
2026_08_27_15_17_18_765,query18_compacted.sql_0,SUCCESS,2026-08-27T15:18:05.405513Z,2026-08-27T15:18:08.977703Z
2026_08_27_15_17_18_765,query1_control.sql_0,SUCCESS,2026-08-27T15:18:09.008039Z,2026-08-27T15:18:16.891920Z
2026_08_27_15_17_18_765,query3_control.sql_0,SUCCESS,2026-08-27T15:18:16.892088Z,2026-08-27T15:18:18.300051Z
2026_08_27_15_17_18_765,query6_control.sql_0,SUCCESS,2026-08-27T15:18:18.300211Z,2026-08-27T15:18:18.769209Z
2026_08_27_15_17_18_765,query12_control.sql_0,SUCCESS,2026-08-27T15:18:18.769370Z,2026-08-27T15:18:19.609055Z
2026_08_27_15_17_18_765,query14_control.sql_0,SUCCESS,2026-08-27T15:18:19.609269Z,2026-08-27T15:18:20.259191Z
2026_08_27_15_17_18_765,query18_control.sql_0,SUCCESS,2026-08-27T15:18:20.259330Z,2026-08-27T15:18:23.510797Z
2026_08_27_15_17_18_765,query1_compacted.sql_0,SUCCESS,2026-08-27T15:18:23.543239Z,2026-08-27T15:18:29.394878Z
2026_08_27_15_17_18_765,query3_compacted.sql_0,SUCCESS,2026-08-27T15:18:29.395145Z,2026-08-27T15:18:30.448387Z
2026_08_27_15_17_18_765,query6_compacted.sql_0,SUCCESS,2026-08-27T15:18:30.448554Z,2026-08-27T15:18:30.820410Z
2026_08_27_15_17_18_765,query12_compacted.sql_0,SUCCESS,2026-08-27T15:18:30.820540Z,2026-08-27T15:18:31.407903Z
2026_08_27_15_17_18_765,query14_compacted.sql_0,SUCCESS,2026-08-27T15:18:31.408037Z,2026-08-27T15:18:31.842824Z
2026_08_27_15_17_18_765,query18_compacted.sql_0,SUCCESS,2026-08-27T15:18:31.842971Z,2026-08-27T15:18:35.095301Z
2026_08_27_15_17_18_765,query1_fragmented.sql_0,SUCCESS,2026-08-27T15:18:35.124098Z,2026-08-27T15:18:37.830964Z
2026_08_27_15_17_18_765,query3_fragmented.sql_0,SUCCESS,2026-08-27T15:18:37.831113Z,2026-08-27T15:18:38.618062Z
2026_08_27_15_17_18_765,query6_fragmented.sql_0,SUCCESS,2026-08-27T15:18:38.618241Z,2026-08-27T15:18:38.983654Z
2026_08_27_15_17_18_765,query12_fragmented.sql_0,SUCCESS,2026-08-27T15:18:38.983808Z,2026-08-27T15:18:39.743527Z
2026_08_27_15_17_18_765,query14_fragmented.sql_0,SUCCESS,2026-08-27T15:18:39.743682Z,2026-08-27T15:18:40.248730Z
2026_08_27_15_17_18_765,query18_fragmented.sql_0,SUCCESS,2026-08-27T15:18:40.248923Z,2026-08-27T15:18:43.239931Z
2026_08_27_15_17_18_765,query1_fragmented.sql_0,SUCCESS,2026-08-27T15:18:43.272702Z,2026-08-27T15:18:46.091788Z
2026_08_27_15_17_18_765,query3_fragmented.sql_0,SUCCESS,2026-08-27T15:18:46.091982Z,2026-08-27T15:18:46.933325Z
2026_08_27_15_17_18_765,query6_fragmented.sql_0,SUCCESS,2026-08-27T15:18:46.933453Z,2026-08-27T15:18:47.261276Z
2026_08_27_15_17_18_765,query12_fragmented.sql_0,SUCCESS,2026-08-27T15:18:47.261418Z,2026-08-27T15:18:47.995208Z
2026_08_27_15_17_18_765,query14_fragmented.sql_0,SUCCESS,2026-08-27T15:18:47.995388Z,2026-08-27T15:18:48.458244Z
2026_08_27_15_17_18_765,query18_fragmented.sql_0,SUCCESS,2026-08-27T15:18:48.458392Z,2026-08-27T15:18:51.208177Z
2026_08_27_15_17_18_765,query1_control.sql_0,SUCCESS,2026-08-27T15:18:51.241840Z,2026-08-27T15:18:57.701108Z
2026_08_27_15_17_18_765,query3_control.sql_0,SUCCESS,2026-08-27T15:18:57.701294Z,2026-08-27T15:18:58.810070Z
2026_08_27_15_17_18_765,query6_control.sql_0,SUCCESS,2026-08-27T15:18:58.810213Z,2026-08-27T15:18:59.191531Z
2026_08_27_15_17_18_765,query12_control.sql_0,SUCCESS,2026-08-27T15:18:59.191669Z,2026-08-27T15:18:59.848755Z
2026_08_27_15_17_18_765,query14_control.sql_0,SUCCESS,2026-08-27T15:18:59.848902Z,2026-08-27T15:19:00.347687Z
2026_08_27_15_17_18_765,query18_control.sql_0,SUCCESS,2026-08-27T15:19:00.347814Z,2026-08-27T15:19:02.840949Z
2026_08_27_15_17_18_765,query1_compacted.sql_0,SUCCESS,2026-08-27T15:19:02.872429Z,2026-08-27T15:19:08.016132Z
2026_08_27_15_17_18_765,query3_compacted.sql_0,SUCCESS,2026-08-27T15:19:08.016327Z,2026-08-27T15:19:09.010530Z
2026_08_27_15_17_18_765,query6_compacted.sql_0,SUCCESS,2026-08-27T15:19:09.010715Z,2026-08-27T15:19:09.320470Z
2026_08_27_15_17_18_765,query12_compacted.sql_0,SUCCESS,2026-08-27T15:19:09.320596Z,2026-08-27T15:19:09.910413Z
2026_08_27_15_17_18_765,query14_compacted.sql_0,SUCCESS,2026-08-27T15:19:09.910580Z,2026-08-27T15:19:10.403183Z
2026_08_27_15_17_18_765,query18_compacted.sql_0,SUCCESS,2026-08-27T15:19:10.403316Z,2026-08-27T15:19:13.695579Z
2026_08_27_15_17_18_765,query1_fragmented.sql_0,SUCCESS,2026-08-27T15:19:13.724242Z,2026-08-27T15:19:16.545521Z
2026_08_27_15_17_18_765,query3_fragmented.sql_0,SUCCESS,2026-08-27T15:19:16.545710Z,2026-08-27T15:19:17.293735Z
2026_08_27_15_17_18_765,query6_fragmented.sql_0,SUCCESS,2026-08-27T15:19:17.293906Z,2026-08-27T15:19:17.606758Z
