scheduler_mode,repetition,client_start_time,client_end_time,client_duration_ms
FIFO,0,1788166899.334232,1788166924.0115187,24677.286624908447
FIFO,1,1788167131.7744532,1788167155.7353194,23960.86621284485
FIFO,2,1788167431.12375,1788167457.3071675,26183.417558670044
FIFO,3,1788167489.8460038,1788167512.259603,22413.599252700806
FIFO,4,1788167632.8437965,1788167652.9236352,20079.838752746582
FIFO,5,1788167681.541439,1788167704.1232872,22581.84814453125
FIFO,6,1788167829.1521888,1788167850.637418,21485.22925376892
FIFO,7,1788167879.754083,1788167901.5337846,21779.701709747314
FIFO,8,1788168018.6721764,1788168037.8866751,19214.49875831604
FIFO,9,1788168066.725775,1788168087.3729944,20647.21941947937
FIFO,10,1788168206.9092462,1788168229.2896912,22380.44500350952
FIFO,11,1788168259.2433457,1788168280.9968202,21753.474473953247
FIFO,12,1788168405.6888278,1788168427.1573048,21468.47701072693
FIFO,13,1788168457.4927714,1788168478.798007,21305.235624313354
FIFO,14,1788168604.041117,1788168626.291783,22250.66614151001
FIFO,15,1788168655.4012797,1788168677.3969781,21995.69845199585
FIFO,16,1788168796.8523266,1788168818.1530223,21300.695657730103
FIFO,17,1788168846.044761,1788168867.2445257,21199.764728546143
FIFO,18,1788168984.0757298,1788169004.6959674,20620.237588882446
FIFO,19,1788169032.757313,1788169053.5831726,20825.859546661377
FIFO,20,1788169170.759829,1788169190.1506557,19390.82670211792
FIFO,21,1788169216.5125854,1788169235.8994992,19386.913776397705
FAIR,0,1788178341.480637,1788178367.6076474,26127.010345458984
FAIR,1,1788178398.408958,1788178420.1331763,21724.218368530273
FAIR,2,1788178543.9894738,1788178565.039879,21050.405263900757
FAIR,3,1788178594.053379,1788178618.3407085,24287.32943534851
FAIR,4,1788178760.6762476,1788178787.537869,26861.621379852295
FAIR,5,1788178821.7218325,1788178844.079099,22357.266426086426
FAIR,6,1788178970.490869,1788178994.8113303,24320.46127319336
FAIR,7,1788179028.9080024,1788179058.2870889,29379.0864944458
FAIR,8,1788179210.6330616,1788179238.8607445,28227.6828289032
FAIR,9,1788179275.98247,1788179303.0073144,27024.84440803528
FAIR,10,1788179454.3712568,1788179481.4543986,27083.141803741455
FAIR,11,1788179517.734678,1788179545.096096,27361.41800880432
FAIR,12,1788179695.3575485,1788179721.9424696,26584.92112159729
FAIR,13,1788179756.4776163,1788179783.369036,26891.419649124146
FAIR,14,1788179921.7494886,1788179942.6111033,20861.61470413208
FAIR,15,1788179969.5276363,1788179990.5022962,20974.65991973877
FAIR,16,1788180108.5345159,1788180130.8557086,22321.192741394043
FAIR,17,1788180158.1400194,1788180179.392931,21252.91156768799
FAIR,18,1788180292.9068499,1788180313.0296907,20122.840881347656
FAIR,19,1788180339.3195329,1788180358.9439561,19624.423265457153
FAIR,20,1788180469.296965,1788180488.871723,19574.758052825928
FAIR,21,1788180515.1997337,1788180534.7714746,19571.740865707397
