scheduler_mode,repetition,query,overlap_ratio,qir_pct
FIFO,0,Q1,1.0000,0.00
FIFO,0,Q3,1.0000,0.00
FIFO,0,Q6,1.0000,0.00
FIFO,0,Q12,1.0000,0.00
FIFO,0,Q14,1.0000,0.00
FIFO,0,Q18,1.0000,0.00
FIFO,1,Q1,1.0000,0.00
FIFO,1,Q3,1.0000,0.00
FIFO,1,Q6,1.0000,0.00
FIFO,1,Q12,1.0000,0.00
FIFO,1,Q14,1.0000,0.00
FIFO,1,Q18,1.0000,0.00
FIFO,2,Q1,1.0000,-9.74
FIFO,2,Q3,1.0000,-41.01
FIFO,2,Q6,1.0000,-9.87
FIFO,2,Q12,1.0000,-13.93
FIFO,2,Q14,1.0000,2.43
FIFO,2,Q18,1.0000,-8.57
FIFO,3,Q1,1.0000,11.61
FIFO,3,Q3,1.0000,23.65
FIFO,3,Q6,1.0000,19.93
FIFO,3,Q12,1.0000,1.22
FIFO,3,Q14,1.0000,34.77
FIFO,3,Q18,1.0000,6.84
FIFO,4,Q1,1.0000,-0.32
FIFO,4,Q3,1.0000,-0.58
FIFO,4,Q6,1.0000,-4.75
FIFO,4,Q12,1.0000,6.79
FIFO,4,Q14,1.0000,16.58
FIFO,4,Q18,1.0000,11.95
FIFO,5,Q1,1.0000,10.00
FIFO,5,Q3,1.0000,7.13
FIFO,5,Q6,1.0000,51.28
FIFO,5,Q12,1.0000,21.01
FIFO,5,Q14,1.0000,32.71
FIFO,5,Q18,1.0000,11.62
FIFO,6,Q1,1.0000,0.67
FIFO,6,Q3,1.0000,10.07
FIFO,6,Q6,1.0000,22.49
FIFO,6,Q12,1.0000,-6.51
FIFO,6,Q14,1.0000,33.62
FIFO,6,Q18,1.0000,12.12
FIFO,7,Q1,1.0000,25.41
FIFO,7,Q3,1.0000,12.41
FIFO,7,Q6,1.0000,40.39
FIFO,7,Q12,1.0000,6.64
FIFO,7,Q14,1.0000,37.90
FIFO,7,Q18,1.0000,18.91
FIFO,8,Q1,1.0000,5.57
FIFO,8,Q3,1.0000,3.70
FIFO,8,Q6,1.0000,18.05
FIFO,8,Q12,1.0000,-4.87
FIFO,8,Q14,1.0000,7.70
FIFO,8,Q18,1.0000,8.47
FIFO,9,Q1,1.0000,19.62
FIFO,9,Q3,1.0000,14.86
FIFO,9,Q6,1.0000,25.37
FIFO,9,Q12,1.0000,-1.63
FIFO,9,Q14,1.0000,21.14
FIFO,9,Q18,1.0000,9.39
FIFO,10,Q1,1.0000,18.30
FIFO,10,Q3,1.0000,36.46
FIFO,10,Q6,1.0000,22.02
FIFO,10,Q12,1.0000,6.27
FIFO,10,Q14,1.0000,19.58
FIFO,10,Q18,1.0000,8.70
FIFO,11,Q1,1.0000,4.27
FIFO,11,Q3,1.0000,3.54
FIFO,11,Q6,1.0000,17.14
FIFO,11,Q12,1.0000,-5.22
FIFO,11,Q14,1.0000,7.90
FIFO,11,Q18,1.0000,24.22
FIFO,12,Q1,1.0000,9.23
FIFO,12,Q3,1.0000,17.79
FIFO,12,Q6,1.0000,6.55
FIFO,12,Q12,1.0000,14.59
FIFO,12,Q14,1.0000,9.58
FIFO,12,Q18,1.0000,19.28
FIFO,13,Q1,1.0000,14.31
FIFO,13,Q3,1.0000,11.47
FIFO,13,Q6,1.0000,4.43
FIFO,13,Q12,1.0000,-1.63
FIFO,13,Q14,1.0000,36.90
FIFO,13,Q18,1.0000,7.39
FIFO,14,Q1,1.0000,22.93
FIFO,14,Q3,1.0000,13.12
FIFO,14,Q6,1.0000,11.46
FIFO,14,Q12,1.0000,5.38
FIFO,14,Q14,1.0000,14.10
FIFO,14,Q18,1.0000,12.32
