scheduler_mode,query,baseline_mean_ms,baseline_std_ms,baseline_ci_lower_ms,baseline_ci_upper_ms,concurrent_mean_ms,concurrent_std_ms,concurrent_ci_lower_ms,concurrent_ci_upper_ms,qir_mean_pct,qir_std_pct,qir_ci_lower_pct,qir_ci_upper_pct
FAIR,Q1,4950.09,856.13,4549.41,5350.77,5463.42,927.43,5029.37,5897.47,10.86,9.22,6.55,15.18
FAIR,Q12,2459.85,331.41,2304.75,2614.95,2686.00,451.89,2474.51,2897.49,9.26,11.17,4.04,14.49
FAIR,Q14,2103.90,280.76,1972.50,2235.30,2554.75,493.50,2323.78,2785.72,21.35,17.59,13.11,29.58
FAIR,Q18,5081.12,834.54,4690.54,5471.69,5748.77,777.61,5384.84,6112.70,13.76,6.60,10.67,16.85
FAIR,Q3,2439.64,380.05,2261.77,2617.51,2671.14,415.45,2476.71,2865.58,10.31,14.56,3.50,17.13
FAIR,Q6,1949.04,372.24,1774.82,2123.25,2269.60,345.37,2107.96,2431.23,17.95,14.32,11.25,24.66
FAIR,Workload,18983.64,2790.24,17677.77,20289.51,21393.68,3159.62,19914.94,22872.43,12.77,4.75,10.54,14.99
FIFO,Q1,4563.50,495.75,4331.48,4795.52,4947.04,393.11,4763.05,5131.02,8.90,8.26,5.04,12.77
FIFO,Q12,2306.52,186.05,2219.45,2393.59,2317.11,178.84,2233.41,2400.81,0.78,8.15,-3.03,4.59
FIFO,Q14,1857.90,172.08,1777.37,1938.44,2239.04,211.79,2139.91,2338.16,20.95,11.56,15.54,26.36
FIFO,Q18,4681.49,376.91,4505.09,4857.89,5131.66,264.19,5008.01,5255.30,10.03,7.30,6.61,13.44
FIFO,Q3,2279.23,590.66,2002.79,2555.67,2444.04,259.00,2322.82,2565.26,10.16,15.06,3.11,17.21
FIFO,Q6,1727.37,211.38,1628.44,1826.30,2041.38,202.73,1946.50,2136.26,19.11,14.24,12.44,25.77
FIFO,Workload,17416.01,1902.79,16525.48,18306.55,19120.25,1096.17,18607.23,19633.28,10.38,7.35,6.94,13.82
