scheduler_mode,repetition,run_type,query,job_id,stage_id,submission_time,completion_time,duration_ms,num_tasks,max_concurrency,overlap_duration_ms
FAIR,0,baseline,Q1,0,0,1788178286015,1788178290343,4328,7,7,0.0
FAIR,0,baseline,Q1,1,2,1788178290659,1788178290828,169,1,1,0.0
FAIR,0,baseline,Q1,2,4,1788178290850,1788178290911,61,1,1,0.0
FAIR,0,baseline,Q1,3,7,1788178290970,1788178291051,81,1,1,0.0
FAIR,0,baseline,Q1,4,8,1788178293089,1788178294144,1055,7,7,0.0
FAIR,0,baseline,Q1,5,9,1788178293113,1788178293297,184,1,1,0.0
FAIR,0,baseline,Q3,6,10,1788178293501,1788178294138,637,1,1,0.0
FAIR,0,baseline,Q3,7,12,1788178294187,1788178294415,228,1,1,0.0
FAIR,0,baseline,Q3,8,14,1788178294643,1788178295160,517,17,17,0.0
FAIR,0,baseline,Q3,9,15,1788178296968,1788178297475,507,7,7,0.0
FAIR,0,baseline,Q6,10,17,1788178297509,1788178297522,13,1,1,0.0
FAIR,0,baseline,Q6,11,18,1788178299220,1788178299924,704,1,1,0.0
FAIR,0,baseline,Q6,12,19,1788178299247,1788178299827,580,7,7,0.0
FAIR,0,baseline,Q12,13,21,1788178299855,1788178299880,25,1,1,0.0
FAIR,0,baseline,Q12,14,23,1788178299996,1788178300258,262,14,14,0.0
FAIR,0,baseline,Q12,15,26,1788178300307,1788178300325,18,1,1,0.0
FAIR,0,baseline,Q12,16,29,1788178300330,1788178300345,15,1,1,0.0
FAIR,0,baseline,Q12,17,33,1788178300373,1788178300389,16,1,1,0.0
FAIR,0,baseline,Q12,18,34,1788178302302,1788178302400,98,1,1,0.0
FAIR,0,baseline,Q14,19,35,1788178302519,1788178303013,494,7,7,0.0
FAIR,0,baseline,Q14,20,37,1788178303052,1788178303065,13,1,1,0.0
FAIR,0,baseline,Q14,21,38,1788178304792,1788178305075,283,1,1,0.0
FAIR,0,baseline,Q14,22,39,1788178304795,1788178306550,1755,1,1,0.0
FAIR,0,baseline,Q14,23,40,1788178304824,1788178307118,2294,7,7,0.0
FAIR,0,baseline,Q14,24,41,1788178304840,1788178306483,1643,7,7,0.0
FAIR,0,baseline,Q18,25,45,1788178307282,1788178309223,1941,17,17,0.0
FAIR,0,concurrent,compaction,26,46,1788178343596,1788178367184,23588,1,1,0.0
FAIR,0,concurrent,Q1,27,47,1788178345932,1788178349005,3073,7,7,0.0
FAIR,0,concurrent,Q1,28,49,1788178349065,1788178349083,18,1,1,0.0
FAIR,0,concurrent,Q1,29,51,1788178349087,1788178349105,18,1,1,0.0
FAIR,0,concurrent,Q1,30,54,1788178349128,1788178349140,12,1,1,0.0
FAIR,0,concurrent,Q3,31,55,1788178351587,1788178352369,782,7,7,0.0
FAIR,0,concurrent,Q3,32,56,1788178351592,1788178351677,85,1,1,0.0
FAIR,0,concurrent,Q3,33,57,1788178351738,1788178352239,501,1,1,0.0
FAIR,0,concurrent,Q3,34,59,1788178352305,1788178352373,68,1,1,0.0
FAIR,0,concurrent,Q3,35,61,1788178352485,1788178352631,146,17,16,0.0
FAIR,0,concurrent,Q3,36,62,1788178354706,1788178355088,382,7,7,0.0
FAIR,0,concurrent,Q6,37,64,1788178355103,1788178355110,7,1,1,0.0
FAIR,0,concurrent,Q12,38,65,1788178357622,1788178358317,695,1,1,0.0
FAIR,0,concurrent,Q12,39,66,1788178357631,1788178358130,499,7,7,0.0
FAIR,0,concurrent,Q12,40,68,1788178358146,1788178358164,18,1,1,0.0
FAIR,0,concurrent,Q12,41,70,1788178358343,1788178358417,74,14,14,0.0
FAIR,0,concurrent,Q12,42,73,1788178358444,1788178358455,11,1,1,0.0
FAIR,0,concurrent,Q12,43,76,1788178358458,1788178358470,12,1,1,0.0
FAIR,0,concurrent,Q12,44,80,1788178358496,1788178358509,13,1,1,0.0
FAIR,0,concurrent,Q12,45,81,1788178360493,1788178360578,85,1,1,0.0
FAIR,0,concurrent,Q14,46,82,1788178360672,1788178361066,394,7,7,0.0
FAIR,0,concurrent,Q14,47,84,1788178361086,1788178361095,9,1,1,0.0
FAIR,0,concurrent,Q18,48,85,1788178363353,1788178364696,1343,1,1,0.0
FAIR,0,concurrent,Q18,49,86,1788178363361,1788178363511,150,1,1,0.0
FAIR,0,concurrent,Q18,50,87,1788178363365,1788178365035,1670,7,7,0.0
FAIR,0,concurrent,Q18,51,88,1788178363371,1788178364400,1029,7,7,0.0
FAIR,0,concurrent,Q18,52,92,1788178365108,1788178366630,1522,17,16,0.0
FAIR,1,concurrent,compaction,53,93,1788178400137,1788178419933,19796,1,1,0.0
FAIR,1,concurrent,Q1,54,94,1788178402108,1788178404703,2595,7,7,0.0
FAIR,1,concurrent,Q1,55,96,1788178404730,1788178404739,9,1,1,0.0
FAIR,1,concurrent,Q1,56,98,1788178404742,1788178404753,11,1,1,0.0
FAIR,1,concurrent,Q1,57,101,1788178404767,1788178404774,7,1,1,0.0
FAIR,1,concurrent,Q1,58,102,1788178406404,1788178406994,590,7,7,0.0
FAIR,1,concurrent,Q1,59,103,1788178406411,1788178406490,79,1,1,0.0
FAIR,1,concurrent,Q1,60,104,1788178406527,1788178406915,388,1,1,0.0
FAIR,1,concurrent,Q3,61,106,1788178406934,1788178406980,46,1,1,0.0
