comparison_type,category,n,shapiro_w_stat,shapiro_p_value,is_normal,paired_t_stat,paired_t_p_value,wilcoxon_stat,wilcoxon_p_value,holm_adj_p_value,significant_holm,cohen_dz,rank_biserial_r
FIFO_Baseline_vs_Concurrent,Q1,20,0.9386,0.22587,Yes,4.4513,0.00027,16.0,0.00095,0.00082,Yes,0.9953,0.8476
FIFO_Baseline_vs_Concurrent,Q12,20,0.9661,0.67141,Yes,0.2427,0.81082,103.0,0.95534,0.81082,No,0.0543,0.0190
FIFO_Baseline_vs_Concurrent,Q14,20,0.9047,0.05045,Yes,8.3007,0.00000,0.0,0.00010,0.00000,Yes,1.8561,1.0000
FIFO_Baseline_vs_Concurrent,Q18,20,0.9429,0.27131,Yes,5.8168,0.00001,11.0,0.00048,0.00007,Yes,1.3007,0.8952
FIFO_Baseline_vs_Concurrent,Q3,20,0.5829,0.00000,No,1.3949,0.17915,21.0,0.00183,0.00365,Yes,0.3119,0.8000
FIFO_Baseline_vs_Concurrent,Q6,20,0.9759,0.87133,Yes,5.7212,0.00002,8.0,0.00032,0.00007,Yes,1.2793,0.9238
FIFO_Baseline_vs_Concurrent,Workload,20,0.7283,0.00009,No,5.2104,0.00005,20.0,0.00161,0.00161,Yes,1.1651,0.8095
FAIR_Baseline_vs_Concurrent,Q1,20,0.8616,0.00838,No,4.6875,0.00016,20.0,0.00161,0.00473,Yes,1.0482,0.8095
FAIR_Baseline_vs_Concurrent,Q12,20,0.9514,0.38865,Yes,3.6839,0.00158,26.0,0.00338,0.00473,Yes,0.8237,0.7524
FAIR_Baseline_vs_Concurrent,Q14,20,0.9446,0.29232,Yes,5.5992,0.00002,5.0,0.00020,0.00011,Yes,1.2520,0.9524
FAIR_Baseline_vs_Concurrent,Q18,20,0.9705,0.76447,Yes,10.5185,0.00000,0.0,0.00010,0.00000,Yes,2.3520,1.0000
FAIR_Baseline_vs_Concurrent,Q3,20,0.9435,0.27888,Yes,2.8642,0.00993,33.0,0.00760,0.00993,Yes,0.6404,0.6857
FAIR_Baseline_vs_Concurrent,Q6,20,0.9312,0.16308,Yes,4.8867,0.00010,16.0,0.00095,0.00041,Yes,1.0927,0.8476
FAIR_Baseline_vs_Concurrent,Workload,20,0.9671,0.69269,Yes,11.1651,0.00000,0.0,0.00010,0.00000,Yes,2.4966,1.0000
FIFO_vs_FAIR_Concurrent_QIR,Q1,20,0.8731,0.01331,No,-0.6205,0.54233,68.0,0.17300,0.69198,No,-0.1387,-0.3524
FIFO_vs_FAIR_Concurrent_QIR,Q12,20,0.9386,0.22582,Yes,-3.1854,0.00487,27.0,0.00381,0.02923,Yes,-0.7123,-0.7429
FIFO_vs_FAIR_Concurrent_QIR,Q14,20,0.8822,0.01936,No,-0.1002,0.92121,102.0,0.92564,1.00000,No,-0.0224,-0.0286
FIFO_vs_FAIR_Concurrent_QIR,Q18,20,0.9147,0.07825,Yes,-1.9010,0.07259,55.0,0.06461,0.36293,No,-0.4251,-0.4762
FIFO_vs_FAIR_Concurrent_QIR,Q3,20,0.9008,0.04268,No,-0.0330,0.97400,92.0,0.64074,1.00000,No,-0.0074,0.1238
FIFO_vs_FAIR_Concurrent_QIR,Q6,20,0.9178,0.08985,Yes,0.2649,0.79394,102.0,0.92564,1.00000,No,0.0592,-0.0286
FIFO_vs_FAIR_Concurrent_QIR,Workload,20,0.9516,0.39144,Yes,-1.4373,0.16689,71.0,0.21106,0.16689,No,-0.3214,-0.3238
