scheduler_mode,repetition,run_type,query,job_id,stage_id,task_id,launch_time,finish_time,duration_ms,cpu_time_ms,gc_time_ms,input_bytes,shuffle_read_bytes,shuffle_write_bytes
FAIR,0,baseline,Q1,0,0,6,1788178286109,1788178288479,2370,1405.71,137,2744914,0,845
FAIR,0,baseline,Q1,0,0,5,1788178286107,1788178290267,4160,2941.13,188,10981748,0,840
FAIR,0,baseline,Q1,0,0,3,1788178286104,1788178290267,4163,2866.08,188,10982658,0,844
FAIR,0,baseline,Q1,0,0,2,1788178286103,1788178290268,4165,2920.09,188,10981694,0,840
FAIR,0,baseline,Q1,0,0,0,1788178286080,1788178290304,4224,2908.27,188,10981126,0,841
FAIR,0,baseline,Q1,0,0,1,1788178286101,1788178290311,4210,2876.36,188,10980258,0,840
FAIR,0,baseline,Q1,0,0,4,1788178286106,1788178290341,4235,2920.64,188,10981092,0,819
FAIR,0,baseline,Q1,1,2,7,1788178290677,1788178290827,150,89.05,0,0,5869,0
FAIR,0,baseline,Q1,2,4,8,1788178290865,1788178290909,44,20.26,0,0,5869,844
FAIR,0,baseline,Q1,3,7,9,1788178290978,1788178291050,72,43.32,0,0,844,0
FAIR,0,baseline,Q1,4,8,16,1788178293106,1788178293558,452,324.47,11,3269202,0,1965203
FAIR,0,baseline,Q1,4,8,11,1788178293101,1788178294112,1011,718.88,11,13077410,0,7743802
FAIR,0,baseline,Q1,4,8,13,1788178293103,1788178294123,1020,724.32,11,13079810,0,7735803
FAIR,0,baseline,Q1,4,8,12,1788178293102,1788178294129,1027,749.72,11,13078846,0,7738331
FAIR,0,baseline,Q1,4,8,10,1788178293096,1788178294131,1035,716.96,11,13078278,0,7750473
FAIR,0,baseline,Q1,4,8,14,1788178293104,1788178294143,1039,726.56,11,13078244,0,7738877
FAIR,0,baseline,Q1,4,8,15,1788178293105,1788178294144,1039,718.97,11,13078900,0,7743364
FAIR,0,baseline,Q1,5,9,17,1788178293119,1788178293295,176,74.67,11,1484824,0,0
FAIR,0,baseline,Q3,6,10,18,1788178293510,1788178294137,627,468.10,0,11640628,0,1604055
FAIR,0,baseline,Q3,7,12,19,1788178294193,1788178294414,221,59.92,0,0,1604055,0
FAIR,0,baseline,Q3,8,14,32,1788178294658,1788178295034,376,272.90,0,0,2929089,0
FAIR,0,baseline,Q3,8,14,22,1788178294656,1788178295086,430,273.78,0,0,2899714,0
FAIR,0,baseline,Q3,8,14,33,1788178294659,1788178295088,429,273.16,0,0,2941007,0
FAIR,0,baseline,Q3,8,14,35,1788178294659,1788178295103,444,264.37,0,0,2897449,0
FAIR,0,baseline,Q3,8,14,28,1788178294658,1788178295118,460,274.84,0,0,2908811,0
FAIR,0,baseline,Q3,8,14,27,1788178294657,1788178295129,472,286.13,0,0,2910947,0
FAIR,0,baseline,Q3,8,14,31,1788178294658,1788178295133,475,268.69,0,0,2888143,0
FAIR,0,baseline,Q3,8,14,34,1788178294659,1788178295135,476,244.98,0,0,2925625,0
FAIR,0,baseline,Q3,8,14,20,1788178294655,1788178295137,482,239.77,0,0,2898550,0
FAIR,0,baseline,Q3,8,14,26,1788178294657,1788178295139,482,271.93,0,0,2886189,0
FAIR,0,baseline,Q3,8,14,21,1788178294656,1788178295139,483,214.54,0,0,2919240,0
FAIR,0,baseline,Q3,8,14,29,1788178294658,1788178295140,482,212.19,0,0,2895551,0
FAIR,0,baseline,Q3,8,14,25,1788178294657,1788178295142,485,216.14,0,0,2895639,0
