scheduler_mode,repetition,run_type,query,job_id,spark_start_time,spark_end_time,spark_duration_ms,compaction_start_time,compaction_end_time,overlap_ms,overlap_pct,num_tasks,sum_task_duration_ms,avg_task_duration_ms
FAIR,0,baseline,Q1,0,1788178286000,1788178290351,4351,,,0.0,0.0000,7,27527,3932.43
FAIR,0,baseline,Q1,1,1788178290643,1788178290831,188,,,0.0,0.0000,1,150,150.00
FAIR,0,baseline,Q1,2,1788178290845,1788178290911,66,,,0.0,0.0000,1,44,44.00
FAIR,0,baseline,Q1,3,1788178290968,1788178291051,83,,,0.0,0.0000,1,72,72.00
FAIR,0,baseline,Q1,4,1788178293088,1788178294145,1057,,,0.0,0.0000,7,6623,946.14
FAIR,0,baseline,Q1,5,1788178293107,1788178293297,190,,,0.0,0.0000,1,176,176.00
FAIR,0,baseline,Q3,6,1788178293498,1788178294139,641,,,0.0,0.0000,1,627,627.00
FAIR,0,baseline,Q3,7,1788178294185,1788178294415,230,,,0.0,0.0000,1,221,221.00
FAIR,0,baseline,Q3,8,1788178294634,1788178295161,527,,,0.0,0.0000,17,7591,446.53
FAIR,0,baseline,Q3,9,1788178296967,1788178297476,509,,,0.0,0.0000,7,3203,457.57
FAIR,0,baseline,Q6,10,1788178297507,1788178297522,15,,,0.0,0.0000,1,9,9.00
FAIR,0,baseline,Q6,11,1788178299219,1788178299924,705,,,0.0,0.0000,1,698,698.00
FAIR,0,baseline,Q6,12,1788178299245,1788178299828,583,,,0.0,0.0000,7,3598,514.00
FAIR,0,baseline,Q12,13,1788178299854,1788178299880,26,,,0.0,0.0000,1,21,21.00
FAIR,0,baseline,Q12,14,1788178299995,1788178300259,264,,,0.0,0.0000,14,3254,232.43
FAIR,0,baseline,Q12,15,1788178300305,1788178300325,20,,,0.0,0.0000,1,13,13.00
FAIR,0,baseline,Q12,16,1788178300328,1788178300345,17,,,0.0,0.0000,1,10,10.00
FAIR,0,baseline,Q12,17,1788178300372,1788178300390,18,,,0.0,0.0000,1,10,10.00
FAIR,0,baseline,Q12,18,1788178302302,1788178302400,98,,,0.0,0.0000,1,94,94.00
FAIR,0,baseline,Q14,19,1788178302518,1788178303014,496,,,0.0,0.0000,7,3030,432.86
FAIR,0,baseline,Q14,20,1788178303051,1788178303065,14,,,0.0,0.0000,1,8,8.00
FAIR,0,baseline,Q14,21,1788178304791,1788178305075,284,,,0.0,0.0000,1,279,279.00
FAIR,0,baseline,Q14,22,1788178304795,1788178306550,1755,,,0.0,0.0000,1,1751,1751.00
FAIR,0,baseline,Q14,23,1788178304824,1788178307118,2294,,,0.0,0.0000,7,14153,2021.86
FAIR,0,baseline,Q14,24,1788178304839,1788178306484,1645,,,0.0,0.0000,7,9703,1386.14
FAIR,0,baseline,Q18,25,1788178307279,1788178309223,1944,,,0.0,0.0000,17,30463,1791.94
FAIR,0,concurrent,compaction,26,1788178343596,1788178367184,23588,1788178343596,1788178367184,23588,1.0000,1,23583,23583.00
FAIR,0,concurrent,Q1,27,1788178345931,1788178349006,3075,1788178343596,1788178367184,3075,1.0000,7,18815,2687.86
