config_id,frag_files,workload_type,scheduler_mode,repetition,client_start_time,client_end_time,duration_ms
frag50_single_stream_FIFO,50,single_stream,FIFO,0,1788182410.9894643,1788182428.6898992,17700.434923171997
frag50_single_stream_FIFO,50,single_stream,FIFO,1,1788182446.2748013,1788182463.81005,17535.24875640869
frag50_single_stream_FIFO,50,single_stream,FIFO,2,1788182511.8834412,1788182526.2473793,14363.938093185425
frag50_single_stream_FIFO,50,single_stream,FIFO,3,1788182540.5535069,1788182554.8525007,14298.993825912476
frag50_single_stream_FIFO,50,single_stream,FIFO,4,1788182602.712522,1788182616.8437076,14131.185531616211
frag50_multi_stream_FIFO,50,multi_stream,FIFO,0,1788182669.59303,1788182691.9651031,22372.07317352295
frag50_multi_stream_FIFO,50,multi_stream,FIFO,1,1788182706.8707974,1788182729.2659097,22395.11227607727
frag50_multi_stream_FIFO,50,multi_stream,FIFO,2,1788182814.2570388,1788182836.6160853,22359.046459197998
frag50_multi_stream_FIFO,50,multi_stream,FIFO,3,1788182851.6053164,1788182874.8147192,23209.402799606323
frag50_multi_stream_FIFO,50,multi_stream,FIFO,4,1788182960.8815506,1788182983.8291888,22947.638273239136
frag200_single_stream_FIFO,200,single_stream,FIFO,0,1788183016.7687888,1788183030.950003,14181.214094161987
frag200_single_stream_FIFO,200,single_stream,FIFO,1,1788183046.2910814,1788183060.5632682,14272.186756134033
frag200_single_stream_FIFO,200,single_stream,FIFO,2,1788183112.0705214,1788183127.6848514,15614.330053329468
frag200_single_stream_FIFO,200,single_stream,FIFO,3,1788183143.9333158,1788183160.041382,16108.066320419312
frag200_single_stream_FIFO,200,single_stream,FIFO,4,1788183210.3117366,1788183224.1476152,13835.878610610962
frag200_multi_stream_FIFO,200,multi_stream,FIFO,0,1788183273.8210545,1788183295.848724,22027.669429779053
frag200_multi_stream_FIFO,200,multi_stream,FIFO,1,1788183311.0749795,1788183334.069025,22994.04549598694
frag200_multi_stream_FIFO,200,multi_stream,FIFO,2,1788183419.106668,1788183441.5428672,22436.199188232422
frag200_multi_stream_FIFO,200,multi_stream,FIFO,3,1788183456.572928,1788183478.6676917,22094.76375579834
frag200_multi_stream_FIFO,200,multi_stream,FIFO,4,1788183563.8206773,1788183586.09757,22276.89266204834
frag500_single_stream_FIFO,500,single_stream,FIFO,0,1788183618.1282487,1788183632.0651693,13936.920642852783
frag500_single_stream_FIFO,500,single_stream,FIFO,1,1788183646.7295215,1788183660.31076,13581.238508224487
