config_id,repetition,frag_files,workload_type,scheduler_mode,table_size_mb,avg_file_size_kb,pre_cpu_util_pct,pre_mem_used_pct,pre_disk_read_bytes_sec,pre_disk_write_bytes_sec,pre_disk_read_iops,pre_disk_write_iops,decision_timestamp
frag50_single_stream_FIFO,0,50,single_stream,FIFO,145.00,2969.60,38.65,74.10,50751,14059145,3.6,109.5,1788182410.989
frag50_single_stream_FIFO,1,50,single_stream,FIFO,145.00,2969.60,55.82,73.66,4125035,15215653,533.9,147.4,1788182446.275
frag50_single_stream_FIFO,2,50,single_stream,FIFO,145.00,2969.60,41.43,78.34,982421,71012249,32.8,560.3,1788182511.883
frag50_single_stream_FIFO,3,50,single_stream,FIFO,145.00,2969.60,33.85,74.39,562427,15207976,106.2,127.1,1788182540.553
frag50_single_stream_FIFO,4,50,single_stream,FIFO,145.00,2969.60,35.04,81.56,35014455,30532782,291.0,367.7,1788182602.702
frag50_multi_stream_FIFO,0,50,multi_stream,FIFO,145.00,2969.60,33.65,77.98,969663,282600,16.4,9.6,1788182669.591
frag50_multi_stream_FIFO,1,50,multi_stream,FIFO,145.00,2969.60,35.32,78.52,734740,47921747,17.6,385.8,1788182706.871
frag50_multi_stream_FIFO,2,50,multi_stream,FIFO,145.00,2969.60,38.94,79.61,17897038,545052,343.1,39.2,1788182814.257
frag50_multi_stream_FIFO,3,50,multi_stream,FIFO,145.00,2969.60,42.31,81.04,59328360,43357583,886.0,353.9,1788182851.604
frag50_multi_stream_FIFO,4,50,multi_stream,FIFO,145.00,2969.60,42.66,81.93,18769262,45074880,215.8,372.1,1788182960.881
frag200_single_stream_FIFO,0,200,single_stream,FIFO,145.00,742.40,39.89,81.66,10534212,20061519,1415.6,777.1,1788183016.769
frag200_single_stream_FIFO,1,200,single_stream,FIFO,145.00,742.40,41.22,78.49,2655003,22051934,91.5,566.5,1788183046.289
frag200_single_stream_FIFO,2,200,single_stream,FIFO,145.00,742.40,49.26,82.17,57218,29512017,8.4,1160.1,1788183112.069
frag200_single_stream_FIFO,3,200,single_stream,FIFO,145.00,742.40,47.91,79.22,49100,44184642,4.4,339.7,1788183143.933
frag200_single_stream_FIFO,4,200,single_stream,FIFO,145.00,742.40,35.36,81.51,11458,30378480,2.4,296.5,1788183210.310
frag200_multi_stream_FIFO,0,200,multi_stream,FIFO,145.00,742.40,37.51,78.98,137188,99825629,9.2,798.9,1788183273.819
frag200_multi_stream_FIFO,1,200,multi_stream,FIFO,145.00,742.40,38.21,79.52,3274,5840476,0.8,83.1,1788183311.073
frag200_multi_stream_FIFO,2,200,multi_stream,FIFO,145.00,742.40,38.40,80.51,39283,57339653,4.4,533.5,1788183419.100
frag200_multi_stream_FIFO,3,200,multi_stream,FIFO,145.00,742.40,38.71,79.87,39551,28098080,0.4,254.8,1788183456.571
frag200_multi_stream_FIFO,4,200,multi_stream,FIFO,145.00,742.40,40.54,82.04,11462,28957872,2.4,226.5,1788183563.815
frag500_single_stream_FIFO,0,500,single_stream,FIFO,145.00,296.96,37.30,86.41,55579,104245226,1.2,857.9,1788183618.128
frag500_single_stream_FIFO,1,500,single_stream,FIFO,145.00,296.96,33.31,81.85,3274,67141,0.4,1.2,1788183646.729
frag500_single_stream_FIFO,2,500,single_stream,FIFO,145.00,296.96,31.53,85.22,52256,62222199,0.4,494.9,1788183707.826
frag500_single_stream_FIFO,3,500,single_stream,FIFO,145.00,296.96,32.25,82.00,4910,68941942,1.2,552.0,1788183735.757
frag500_single_stream_FIFO,4,500,single_stream,FIFO,145.00,296.96,32.83,84.01,9820,62312253,1.6,488.4,1788183796.216
frag500_multi_stream_FIFO,0,500,multi_stream,FIFO,145.00,296.96,33.26,81.57,8176,32324956,2.0,295.5,1788183857.950
frag500_multi_stream_FIFO,1,500,multi_stream,FIFO,145.00,296.96,32.68,81.38,4912,60726276,1.2,470.9,1788183893.067
frag500_multi_stream_FIFO,2,500,multi_stream,FIFO,145.00,296.96,34.73,81.56,6537,26197,1.2,1.2,1788183993.877
frag500_multi_stream_FIFO,3,500,multi_stream,FIFO,145.00,296.96,37.40,84.96,952869,2103938,56.0,77.9,1788184029.302
frag500_multi_stream_FIFO,4,500,multi_stream,FIFO,145.00,296.96,32.04,83.15,14726,957209,1.2,16.4,1788184130.028
frag50_single_stream_FAIR,0,50,single_stream,FAIR,145.00,2969.60,32.00,72.14,37643,845988,4.8,14.4,1788184199.335
frag50_single_stream_FAIR,1,50,single_stream,FAIR,145.00,2969.60,32.35,70.24,19627,977227,4.8,13.2,1788184227.390
frag50_single_stream_FAIR,2,50,single_stream,FAIR,145.00,2969.60,32.18,72.72,8176,124474209,2.0,982.3,1788184286.503
frag50_single_stream_FAIR,3,50,single_stream,FAIR,145.00,2969.60,31.00,69.48,0,83505,0.0,2.4,1788184314.242
frag50_single_stream_FAIR,4,50,single_stream,FAIR,145.00,2969.60,31.94,71.96,19644,93720289,4.4,799.3,1788184373.578
frag50_multi_stream_FAIR,0,50,multi_stream,FAIR,145.00,2969.60,31.42,69.02,6533,4772072,0.8,77.8,1788184436.334
frag50_multi_stream_FAIR,1,50,multi_stream,FAIR,145.00,2969.60,30.97,68.90,55589,61200336,1.2,477.7,1788184471.390
frag50_multi_stream_FAIR,2,50,multi_stream,FAIR,145.00,2969.60,31.92,68.87,216097,12778210,45.6,248.8,1788184573.158
frag50_multi_stream_FAIR,3,50,multi_stream,FAIR,145.00,2969.60,30.36,69.41,3355172,965969,534.9,34.8,1788184608.592
frag50_multi_stream_FAIR,4,50,multi_stream,FAIR,145.00,2969.60,38.25,69.73,26198,140811,4.8,16.4,1788184709.758
frag200_single_stream_FAIR,0,200,single_stream,FAIR,145.00,742.40,31.60,70.60,0,11462,0.0,0.8,1788184761.394
frag200_single_stream_FAIR,1,200,single_stream,FAIR,145.00,742.40,30.34,69.78,0,206179,0.0,33.6,1788184789.382
frag200_single_stream_FAIR,2,200,single_stream,FAIR,145.00,742.40,30.58,70.14,8312618,132995384,227.4,1059.7,1788184849.481
frag200_single_stream_FAIR,3,200,single_stream,FAIR,145.00,742.40,30.06,69.85,857485,57658303,140.2,444.1,1788184877.117
