timestamp,cpu_util_pct,mem_total_mb,mem_used_mb,mem_avail_mb,mem_used_pct,disk_read_bytes_sec,disk_write_bytes_sec,disk_read_iops,disk_write_iops
1788182362.713,10.78,15314.3,7111.0,8203.3,46.43,0,0,0.0,0.0
1788182363.713,16.56,15314.3,7109.3,8204.9,46.42,0,23634059,0.0,223.8
1788182364.714,18.34,15314.3,7111.0,8203.3,46.43,0,0,0.0,0.0
1788182365.714,24.47,15314.3,7203.4,8110.9,47.04,0,0,0.0,0.0
1788182366.715,28.34,15314.3,7261.0,8053.2,47.41,0,1072558,0.0,10.0
1788182367.716,33.70,15314.3,7354.3,7960.0,48.02,0,69890330,0.0,533.7
1788182368.716,25.21,15314.3,7425.5,7888.7,48.49,0,0,0.0,0.0
1788182369.717,31.01,15314.3,7457.9,7856.4,48.70,0,401218,0.0,6.0
1788182370.717,32.50,15314.3,7519.2,7795.1,49.10,32747,195310770,8.0,1668.9
1788182371.718,31.38,15314.3,7606.9,7707.3,49.67,8188,155568,2.0,36.0
1788182372.719,30.59,15314.3,7657.7,7656.5,50.00,0,0,0.0,0.0
1788182373.719,10.58,15314.3,7652.4,7661.9,49.97,0,24563,0.0,6.0
1788182374.720,16.84,15314.3,7496.0,7818.3,48.95,139179,212862,10.0,4.0
1788182375.721,18.80,15314.3,7503.5,7810.7,49.00,40926,0,6.0,0.0
1788182376.721,27.87,15314.3,7562.7,7751.6,49.38,0,0,0.0,0.0
1788182377.722,27.40,15314.3,7641.8,7672.5,49.90,0,221005,0.0,10.0
1788182378.723,25.53,15314.3,7683.2,7631.0,50.17,0,188192,0.0,24.0
1788182379.724,22.66,15314.3,7725.6,7588.7,50.45,0,0,0.0,0.0
1788182380.724,25.81,15314.3,7790.7,7523.6,50.87,0,2562875,0.0,32.0
1788182381.725,30.00,15314.3,7880.5,7433.8,51.46,0,71695273,0.0,551.7
1788182382.725,29.51,15314.3,7915.6,7398.7,51.69,0,69907603,0.0,533.7
1788182383.726,21.55,15314.3,8003.7,7310.6,52.26,65504,3651868,6.0,105.9
1788182384.726,19.28,15314.3,8140.4,7173.8,53.16,0,0,0.0,0.0
1788182385.727,17.19,15314.3,8186.9,7127.3,53.46,0,210857020,0.0,1611.1
1788182386.728,16.01,15314.3,8266.6,7047.6,53.98,0,597585,0.0,32.0
1788182387.728,9.87,15314.3,8361.8,6952.5,54.60,0,0,0.0,0.0
