dataset_scope,policy_name,max_deferrals_bound,total_observations,maintenance_completion_rate_pct,forced_runs_pct,maintenance_deferral_rate_pct,mean_qir_pct,median_qir_pct,p95_qir_pct,max_qir_pct,sla_violation_rate_pct,sla_protection_rate_pct,max_consecutive_deferrals,mean_deferral_streak,number_of_starvation_events
In-Distribution,Policy B: Always Defer,0,168,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,168,168.0,1
In-Distribution,Policy B: Always Defer,1,168,50.0,50.0,50.0,1.53,0.0,11.67,19.31,7.14,92.86,1,1.0,0
In-Distribution,Policy B: Always Defer,2,168,33.33,33.33,66.67,0.8,0.0,7.38,13.71,2.38,97.62,2,2.0,0
In-Distribution,Policy B: Always Defer,3,168,25.0,25.0,75.0,0.86,0.0,8.78,19.31,4.17,95.83,3,3.0,42
In-Distribution,Policy B: Always Defer,5,168,16.67,16.67,83.33,0.3,0.0,4.12,13.71,1.79,98.21,5,5.0,28
In-Distribution,Policy C: Resource Heuristic,0,168,66.67,0.0,33.33,2.05,0.0,11.67,24.27,5.95,94.05,12,5.09,7
In-Distribution,Policy C: Resource Heuristic,1,168,81.55,14.88,18.45,2.67,1.17,13.5,24.27,9.52,90.48,1,1.0,0
In-Distribution,Policy C: Resource Heuristic,2,168,76.19,9.52,23.81,2.46,0.68,13.28,33.4,7.74,92.26,2,1.82,0
In-Distribution,Policy C: Resource Heuristic,3,168,72.02,5.36,27.98,2.18,0.13,13.01,24.27,7.74,92.26,3,2.47,12
In-Distribution,Policy C: Resource Heuristic,5,168,70.83,4.17,29.17,2.09,0.13,11.67,24.27,5.95,94.05,5,3.27,9
In-Distribution,Policy D: Point Prediction Policy,0,168,91.67,0.0,8.33,3.05,1.81,15.04,35.05,10.71,89.29,12,7.0,1
In-Distribution,Policy D: Point Prediction Policy,1,168,95.83,4.17,4.17,3.27,2.26,15.21,35.05,12.5,87.5,1,1.0,0
In-Distribution,Policy D: Point Prediction Policy,2,168,94.05,2.38,5.95,3.2,1.94,15.21,35.05,11.31,88.69,2,2.0,0
In-Distribution,Policy D: Point Prediction Policy,3,168,93.45,1.79,6.55,3.06,1.94,15.04,35.05,11.31,88.69,3,2.75,3
In-Distribution,Policy D: Point Prediction Policy,5,168,92.86,1.19,7.14,3.02,1.81,15.04,35.05,10.71,89.29,5,4.0,2
