dataset_scope,policy_name,sla_threshold_pct,total_observations,maintenance_completion_rate_pct,maintenance_deferral_rate_pct,mean_qir_pct,median_qir_pct,p95_qir_pct,max_qir_pct,sla_violation_rate_pct,sla_protection_rate_pct,max_consecutive_deferrals,mean_deferral_streak,number_of_starvation_events
In-Distribution,Point Prediction Policy,5.0,168,68.45,31.55,1.46,0.0,9.44,24.27,14.29,85.71,12,2.04,2
In-Distribution,Point Prediction Policy,7.5,168,88.1,11.9,2.86,1.38,15.04,35.05,19.05,80.95,12,2.86,1
In-Distribution,Point Prediction Policy,10.0,168,91.67,8.33,3.05,1.81,15.04,35.05,10.71,89.29,12,7.0,1
In-Distribution,Point Prediction Policy,12.5,168,97.62,2.38,3.35,2.27,15.21,35.05,8.93,91.07,2,1.33,0
In-Distribution,Point Prediction Policy,15.0,168,100.0,0.0,3.64,2.63,15.5,35.05,6.55,93.45,0,0.0,0
In-Distribution,Point Prediction Policy,20.0,168,100.0,0.0,3.64,2.63,15.5,35.05,2.38,97.62,0,0.0,0
In-Distribution,Raw Quantile Policy (q=0.95),5.0,168,3.57,96.43,0.01,0.0,0.0,6.33,0.6,99.4,89,32.4,3
In-Distribution,Raw Quantile Policy (q=0.95),7.5,168,12.5,87.5,0.16,0.0,1.38,7.81,0.6,99.4,41,8.17,8
In-Distribution,Raw Quantile Policy (q=0.95),10.0,168,30.95,69.05,0.52,0.0,5.75,14.53,1.19,98.81,27,3.05,12
In-Distribution,Raw Quantile Policy (q=0.95),12.5,168,51.19,48.81,1.17,0.0,8.82,19.31,1.79,98.21,9,2.05,9
In-Distribution,Raw Quantile Policy (q=0.95),15.0,168,70.24,29.76,2.09,0.0,11.67,19.31,2.98,97.02,6,1.85,5
In-Distribution,Raw Quantile Policy (q=0.95),20.0,168,95.83,4.17,3.09,2.1,14.53,33.4,1.19,98.81,2,1.17,0
In-Distribution,Standard Conformal Policy (alpha=0.05),5.0,168,2.98,97.02,0.05,0.0,0.0,6.33,0.6,99.4,86,54.33,2
In-Distribution,Standard Conformal Policy (alpha=0.05),7.5,168,4.17,95.83,0.14,0.0,0.0,8.63,0.6,99.4,86,80.5,2
In-Distribution,Standard Conformal Policy (alpha=0.05),10.0,168,10.12,89.88,0.54,0.0,4.37,19.31,1.79,98.21,56,25.17,4
In-Distribution,Standard Conformal Policy (alpha=0.05),12.5,168,63.1,36.9,1.33,0.0,9.01,19.31,2.98,97.02,12,2.0,3
In-Distribution,Standard Conformal Policy (alpha=0.05),15.0,168,83.93,16.07,2.59,1.09,15.04,35.05,5.36,94.64,12,1.93,1
In-Distribution,Standard Conformal Policy (alpha=0.05),20.0,168,92.86,7.14,3.02,1.81,15.04,35.05,1.19,98.81,5,4.0,2
In-Distribution,Adaptive Conformal Policy (alpha=0.10),5.0,168,6.55,93.45,0.38,0.0,0.57,19.31,3.57,96.43,86,52.33,3
